e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
barrier	barrier	bxiriyr	baQao	बाधाओं	बैरियर	বাধাওং	baQao	বাধাওং	baQao		
base	base	bes	xaQar	आधार	बेस	আধার	xaQar	আধার	xaQar		
baseball	baseball	besbal	besbal	बेसबॉल	बेसबॉल	বেসব৉ল	besbal	বেসব৉ল	besbal		
basic	basic	besik	buniyaqi	बुनियादी	बेसिक	বুনিযাদী	buniyaqi	বুনিযাদী	buniyaqi		
basically	basically	bsikli	mul rup se	मूल रूप से	बसीकली	মূল রূপ সে	mul rup se	মূল রূপ সে	mul rup se		
basis	basis	besis	xaQar	आधार	बेसिस	আধার	xaQar	আধার	xaQar		
basket	basket	basket	basketbal	बास्केटबाल	बास्केट	বাস্কেটবাল	basketbal	বাস্কেটবাল	basketbal		
basketball	basketball	basketbal	basketbal	बास्केटबाल	बास्केटबॉल	বাস্কেটবাল	basketbal	বাস্কেটবাল	basketbal		
bathroom	bathroom	baJrum	snanGr	स्नानघर	बाथरूम	স্নানঘর	snanGr	স্নানঘর	snanGr		
battery	battery	bxitri	bxitri	बैटरी	बैटरी	বৈটরী	bxitri	বৈটরী	bxitri		
battle	battle	bxitl	yuqQ	युद्ध	बैटल	যুদ্ধ	yuqQ	যুদ্ধ	yuqQ		
be	be	be	vona	होना	बे	হোনা	vona	হোনা	vona		
beach	beach	bic	sagrjt	सागरतट	बीच	সাগরতট	sagrjt	সাগরতট	sagrjt		
bean	bean	bin	sem	सेम	बीन	সেম	sem	সেম	sem		
bear	bear	beyr	svna	सहना	बेयर	সহনা	svna	সহনা	svna		
beat	beat	bit	vrana	हराना	बीट	হরানা	vrana	হরানা	vrana		
beautiful	beautiful	byutiful	sunqr	सुंदर	ब्यूटीफुल	সুংদর	sunqr	সুংদর	sunqr		
beauty	beauty	byuti	sunqrja	सुंदरता	ब्यूटी	সুংদরতা	sunqrja	সুংদরতা	sunqrja		
because	because	bikaज़	isliye	इसलिये	बिकॉज़	ইসলিযে	isliye	ইসলিযে	isliye		
become	become	bikm	bnna	बनना	बिकम	বননা	bnna	বননা	bnna		
bed	bed	bied	bisjr	बिस्तर	बीएड	বিস্তর	bisjr	বিস্তর	bisjr		
bedroom	bedroom	bxidrum	SynkS	शयनकक्ष	बैडरूम	শযনকক্ষ	SynkS	শযনকক্ষ	SynkS		
beer	beer	biyr	biyr	बीयर	बियर	বীযর	biyr	বীযর	biyr		
before	before	bifor	isse pvle	इससे पहले	बिफोर	ইসসে পহলে	isse pvle	ইসসে পহলে	isse pvle		
begin	begin	bigin	Suru krna	शुरू करना	बिगिन	শুরূ করনা	Suru krna	শুরূ করনা	Suru krna		
beginning	beginning	bigniNg	Suruxaj	शुरुआत	बिगनिंग	শুরুআত	Suruxaj	শুরুআত	Suruxaj		
behavior	behawior	bivewiyr	w‍ywvar	व्‍यवहार	बिहेवियर	঵্‍য঵হার	w‍ywvar	঵্‍য঵হার	w‍ywvar		
behind	behind	bivaind	piCe	पीछे	बिहाइंड	পীছে	piCe	পীছে	piCe		
being	being	biiNg	prani	प्राणी	बीइंग	প্রাণী	prani	প্রাণী	prani		
belief	belief	bilif	wiSwas	विश्वास	बिलीफ	঵িশ্঵াস	wiSwas	঵িশ্঵াস	wiSwas		
believe	beliewe	biliw	manna	मानना	बिलीव	মাননা	manna	মাননা	manna		
bell	bell	bell	sunqr	सुंदर	बेल्ल	সুংদর	sunqr	সুংদর	sunqr		
belong	belong	biloNg	smbnQij vona	संबंधित होना	बिलोंग	সংবংধিত হোনা	smbnQij vona	সংবংধিত হোনা	smbnQij vona		
below	below	bilo	nice	नीचे	बिलो	নীচে	nice	নীচে	nice		
belt	belt	belt	belt	बेल्ट	बेल्ट	বেল্ট	belt	বেল্ট	belt		
bench	bench	benc	benc	बेंच	बेंच	বেংচ	benc	বেংচ	benc		
bend	bend	bend	Zukna	झुकना	बेंड	ঝুকনা	Zukna	ঝুকনা	Zukna		
beneath	beneath	biniJ	nice	नीचे	बिनीथ	নীচে	nice	নীচে	nice		
benefit	benefit	benifit	fayqa	फायदा	बेनिफिट	ফাযদা	fayqa	ফাযদা	fayqa		
beside	beside	beside	pas	पास	बेसीडे	পাস	pas	পাস	pas		
besides	besides	besides	ke xjirikj	के अतिरिक्त	बेसिडेस	কে অতিরিক্ত	ke xjirikj	কে অতিরিক্ত	ke xjirikj		
best	best	best	SresT	श्रेष्ठ	बेस्ट	শ্রেষ্ঠ	SresT	শ্রেষ্ঠ	SresT		
bet	bet	bet	Srj	शर्त	बेट	শর্ত	Srj	শর্ত	Srj		
better	better	betr	bevjr	बेहतर	बेटर	বেহতর	bevjr	বেহতর	bevjr		
between	between	bitwin	ke bic	के बीच	बिटवीन	কে বীচ	ke bic	কে বীচ	ke bic		
beyond	beyond	biyand	xage	आगे	बियॉन्ड	আগে	xage	আগে	xage		
bible	bible	baibil	baibil	बाइबिल	बाइबिल	বাইবিল	baibil	বাইবিল	baibil		
big	big	big	bRa	बड़ा	बिग	বড়া	bRa	বড়া	bRa		
bike	bike	baik	saikil	साइकिल	बाइक	সাইকিল	saikil	সাইকিল	saikil		
bill	bill	bil	bil	बिल	बिल	বিল	bil	বিল	bil		
billion	billion	biliyn	Krb	खरब	बिलियन	খরব	Krb	খরব	Krb		
bind	bind	banQ	banQna	बाँधना	बाँध	বাঁধনা	banQna	বাঁধনা	banQna		
biological	biological	bayolazikl	zxiwik	जैविक	बायोलॉजिकल	জৈ঵িক	zxiwik	জৈ঵িক	zxiwik		
bird	bird	brd	ciRiya	चिड़िया	बर्ड	চিড়িযা	ciRiya	চিড়িযা	ciRiya		
birth	birth	birJ	znm	जन्म	बिरथ	জন্ম	znm	জন্ম	znm		
birthday	birthday	brJde	znmqin	जन्मदिन	बर्थडे	জন্মদিন	znmqin	জন্মদিন	znmqin		
bit	bit	bit	kata	काटा	बिट	কাটা	kata	কাটা	kata		
bite	bite	bait	murga	मुर्गा	बाईट	মুর্গা	murga	মুর্গা	murga		
black	black	blxik	kala	काला	ब्लैक	কালা	kala	কালা	kala		
blade	blade	bled	bled	ब्लेड	ब्लेड	ব্লেড	bled	ব্লেড	bled		
blame	blame	blame	xarop	आरोप	ब्लामे	আরোপ	xarop	আরোপ	xarop		
blanket	blanket	blxiNket	kmbl	कंबल	ब्लैंकेट	কংবল	kmbl	কংবল	kmbl		
blind	blind	blaind	xnQa	अंधा	ब्लाइंड	অংধা	xnQa	অংধা	xnQa		
block	block	blak	Knd mxiJa	खंड मैथा	ब्लॉक	খংড মৈথা	Knd mxiJa	খংড মৈথা	Knd mxiJa		
blood	blood	bld	rkj	रक्त	ब्लड	রক্ত	rkj	রক্ত	rkj		
blow	blow	blo	fuNk mara	फुंक मारा	ब्लो	ফুংক মারা	fuNk mara	ফুংক মারা	fuNk mara		
blue	blue	blu	nila	नीला	ब्लू	নীলা	nila	নীলা	nila		
board	board	bord	mndl	मंडल	बोर्ड	মংডল	mndl	মংডল	mndl		
boat	boat	bot	naw	नाव	बोट	না঵	naw	না঵	naw		
body	body	badi	jn	तन	बॉडी	তন	jn	তন	jn		
bomb	bomb	bm	bm	बम	बम	বম	bm	বম	bm		
bombing	bombing	bambiNg	bm wisfot	बम विस्फोट	बॉम्बिंग	বম ঵িস্ফোট	bm wisfot	বম ঵িস্ফোট	bm wisfot		
bond	bond	band	kuqna	कूदना	बांड	কূদনা	kuqna	কূদনা	kuqna		
bone	bone	bon	vddi	हड्डी	बोन	হড্ডী	vddi	হড্ডী	vddi		
book	book	buk	kijab	किताब	बुक	কিতাব	kijab	কিতাব	kijab		
boom	boom	bum	bum	बूम	बूम	বূম	bum	বূম	bum		
boot	boot	but	Gutno jk pvne zane wale zuje	घुटनों तक पहने जाने वाले जूते	बूट	ঘুটনোং তক পহনে জানে ঵ালে জূতে	Gutno jk pvne zane wale zuje	ঘুটনোং তক পহনে জানে ঵ালে জূতে	Gutno jk pvne zane wale zuje		
border	border	bardr	sima	सीमा	बॉर्डर	সীমা	sima	সীমা	sima		
born	born	born	pxiqa vona	पैदा होना	बोर्न	পৈদা হোনা	pxiqa vona	পৈদা হোনা	pxiqa vona		
borrow	borrow	borrow	uQar	उधार	बोर्रोव	উধার	uQar	উধার	uQar		
boss	boss	bas	rob zmana	रोब जमाना	बॉस	রোব জমানা	rob zmana	রোব জমানা	rob zmana		
both	both	boJ	qono	दोनों	बोथ	দোনোং	qono	দোনোং	qono		
bother	bother	boJer	preSan krna	परेशान करना	बोथेर	পরেশান করনা	preSan krna	পরেশান করনা	preSan krna		
bottle	bottle	bojl	bojl	बोतल	बोतल	বোতল	bojl	বোতল	bojl		
bottom	bottom	batm	nice	नीचे	बॉटम	নীচে	nice	নীচে	nice		
boundary	boundary	baundri	sima	सीमा	बाउंड्री	সীমা	sima	সীমা	sima		
bowl	bowl	baul	ktora	कटोरा	बाउल	কটোরা	ktora	কটোরা	ktora		
box	box	baks	dibba	डिब्बा	बॉक्स	ডিব্বা	dibba	ডিব্বা	dibba		
boy	boy	bay	lRka	लड़का	बॉय	লড়কা	lRka	লড়কা	lRka		
boyfriend	boyfriend	bayfrend	qosj	दोस्त	बॉयफ्रेंड	দোস্ত	qosj	দোস্ত	qosj		
brain	brain	bren	qimag	दिमाग	ब्रेन	দিমাগ	qimag	দিমাগ	qimag		
branch	branch	branc	SaKa	शाखा	ब्रांच	শাখা	SaKa	শাখা	SaKa		
brand	brand	brand	brxind	ब्रैंड	ब्रांड	ব্রৈংড	brxind	ব্রৈংড	brxind		
bread	bread	bred	roti	रोटी	ब्रेड	রোটী	roti	রোটী	roti		
break	break	brek	tutna	टूटना	ब्रेक	টূটনা	tutna	টূটনা	tutna		
breakfast	breakfast	brekfast	subv ka naSja	सुबह का नाश्ता	ब्रेकफास्ट	সুবহ কা নাশ্তা	subv ka naSja	সুবহ কা নাশ্তা	subv ka naSja		
breast	breast	brxist	sjn	स्तन	ब्रैस्ट	স্তন	sjn	স্তন	sjn		
breath	breath	breJ	sans lena	साँस लेना	ब्रेथ	সাঁস লেনা	sans lena	সাঁস লেনা	sans lena		
breathe	breathe	brexJe	sans lena	साँस लेना	ब्रेअथे	সাঁস লেনা	sans lena	সাঁস লেনা	sans lena		
brick	brick	brik	brgi	ब्रगि	ब्रिक	ব্রগি	brgi	ব্রগি	brgi		
bridge	bridge	briz	pul	पुल	ब्रिज	পুল	pul	পুল	pul		
brief	brief	brif	snSipj	संक्षिप्त	ब्रीफ	সংক্ষিপ্ত	snSipj	সংক্ষিপ্ত	snSipj		
briefly	briefly	briefli	snSipj	संक्षिप्त	ब्रिएफ्ली	সংক্ষিপ্ত	snSipj	সংক্ষিপ্ত	snSipj		
bright	bright	brait	cmkqar	चमकदार	ब्राइट	চমকদার	cmkqar	চমকদার	cmkqar		
brilliant	brilliant	briliynt	bvuj Kub	बहुत खूब	ब्रिलियंट	বহুত খূব	bvuj Kub	বহুত খূব	bvuj Kub		
bring	bring	briNg	lao	लाओ	ब्रिंग	লাও	lao	লাও	lao		
british	british	britiS	xNgrezo	अंग्रेजों	ब्रिटिश	অংগ্রেজোং	xNgrezo	অংগ্রেজোং	xNgrezo		
broad	broad	brad	couRa	चौड़ा	ब्रॉड	চৌড়া	couRa	চৌড়া	couRa		
broken	broken	brokn	tuti vui	टूटी हुई	ब्रोकन	টূটী হুঈ	tuti vui	টূটী হুঈ	tuti vui		
brother	brother	broJer	Bai	भाई	बरोथेर	ভাঈ	Bai	ভাঈ	Bai		
brown	brown	braun	Bura	भूरा	ब्राउन	ভূরা	Bura	ভূরা	Bura		
brush	brush	brS	brS	ब्रश	ब्रश	ব্রশ	brS	ব্রশ	brS		
buck	buck	bukk	bk	बक	बुक्क	বক	bk	বক	bk		
budget	budget	bzt	bzt	बजट	बजट	বজট	bzt	বজট	bzt		
build	build	bild	bnana	बनाना	बिल्ड	বনানা	bnana	বনানা	bnana		
building	building	bildiNg	imarj	इमारत	बिल्डिंग	ইমারত	imarj	ইমারত	imarj		
bullet	bullet	bulet	goli	गोली	बुलेट	গোলী	goli	গোলী	goli		
bunch	bunch	bnc	gucCa	गुच्छा	बंच	গুচ্ছা	gucCa	গুচ্ছা	gucCa		
burden	burden	brdn	boZ	बोझ	बर्डन	বোঝ	boZ	বোঝ	boZ		
burn	burn	burn	zlana	जलाना	बुरण	জলানা	zlana	জলানা	zlana		
bury	bury	bri	qfnana	दफ़नाना	बरी	দফ়নানা	qfnana	দফ়নানা	qfnana		
bus	bus	bs	bs	बस	बस	বস	bs	বস	bs		
business	business	biज़nes	wyapar	व्यापार	बिज़नेस	঵্যাপার	wyapar	঵্যাপার	wyapar		
busy	busy	bizi	wysj	व्यस्त	बिजी	঵্যস্ত	wysj	঵্যস্ত	wysj		
but	but	buj	uqqeSy	उद्देश्य	बूत	উদ্দেশ্য	uqqeSy	উদ্দেশ্য	uqqeSy		
butter	butter	btr	mkKn	मक्खन	बटर	মক্খন	mkKn	মক্খন	mkKn		
button	button	btn	btn	बटन	बटन	বটন	btn	বটন	btn		
buy	buy	buy	Kriqna	खरीदना	बुय	খরীদনা	Kriqna	খরীদনা	Kriqna		
buyer	buyer	buer	kreja	क्रेता	बुएर	ক্রেতা	kreja	ক্রেতা	kreja		
